kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_red_fused_mean_std_1,"{'x': 1024, 'r0_': 8192}",96.443,28.081,3.4345,XBLOCK=16 R0_BLOCK=1024 num_warps=8,XBLOCK=2 R0_BLOCK=4096 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",37.521,19.441,1.93,XBLOCK=256 YBLOCK=2 num_warps=4,XBLOCK=64 YBLOCK=16 num_warps=2,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 512, 'x': 512}",37.921,19.88,1.9075,XBLOCK=32 YBLOCK=16 num_warps=4,XBLOCK=16 YBLOCK=32 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 2048}",37.201,21.001,1.7714,XBLOCK=64 YBLOCK=32 num_warps=4,XBLOCK=32 YBLOCK=32 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 512, 'r0_': 8192}",40.241,23.681,1.6993,XBLOCK=4 R0_BLOCK=2048 num_warps=4,XBLOCK=1 R0_BLOCK=8192 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",36.321,21.88,1.66,XBLOCK=32 YBLOCK=16 num_warps=8,XBLOCK=16 YBLOCK=32 num_warps=8,yes
triton_red_fused_mean_std_1,"{'x': 512, 'r0_': 8192}",35.641,21.6,1.65,XBLOCK=8 R0_BLOCK=1024 num_warps=8,XBLOCK=2 R0_BLOCK=4096 num_warps=4,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 128, 'r0_': 8192}",60.602,42.001,1.4429,XBLOCK=2 R0_BLOCK=2048 num_warps=4,XBLOCK=2 R0_BLOCK=2048 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 128, 'r0_': 8192}",61.842,45.921,1.3467,XBLOCK=2 R0_BLOCK=2048 num_warps=4,XBLOCK=2 R0_BLOCK=2048 num_warps=8,yes
triton_red_fused_var_5,"{'x': 512, 'r0_': 8192}",27.881,20.96,1.3302,XBLOCK=4 R0_BLOCK=2048 num_warps=4,XBLOCK=1 R0_BLOCK=8192 waves_per_eu=2 num_warps=4,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 512, 'r0_': 8192}",64.562,49.761,1.2974,XBLOCK=4 R0_BLOCK=2048 num_warps=8,XBLOCK=1 R0_BLOCK=8192 waves_per_eu=2 num_warps=4,yes
triton_red_fused_std_3,"{'x': 512, 'r0_': 8192}",28.121,23.08,1.2184,XBLOCK=4 R0_BLOCK=2048 num_warps=4,XBLOCK=1 R0_BLOCK=8192 num_warps=4,yes
triton_red_fused_add_div_max_mul_0,"{'x': 128, 'r0_': 8192}",23.361,19.401,1.2041,XBLOCK=2 R0_BLOCK=2048 num_warps=4,XBLOCK=2 R0_BLOCK=2048 num_warps=8,yes
triton_red_fused_std_3,"{'x': 128, 'r0_': 8192}",26.96,22.601,1.1929,XBLOCK=2 R0_BLOCK=2048 num_warps=4,XBLOCK=2 R0_BLOCK=2048 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",22.72,19.16,1.1858,XBLOCK=64 YBLOCK=32 num_warps=4,XBLOCK=64 YBLOCK=128 num_warps=8,yes
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 2048, 'r0_': 2048}",38.721,32.881,1.1776,XBLOCK=8 R0_BLOCK=2048 num_warps=8,XBLOCK=1 R0_BLOCK=2048 num_warps=4,yes
triton_red_fused_var_5,"{'x': 128, 'r0_': 8192}",26.64,22.72,1.1725,XBLOCK=2 R0_BLOCK=2048 num_warps=4,XBLOCK=2 R0_BLOCK=2048 num_warps=8,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 128, 'r0_': 8192}",34.281,29.28,1.1708,XBLOCK=2 R0_BLOCK=2048 num_warps=4,XBLOCK=2 R0_BLOCK=2048 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},25.761,22.081,1.1667,XBLOCK=2048 num_warps=8,XBLOCK=256 num_warps=4,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 1024, 'x': 1024}",22.801,19.601,1.1633,XBLOCK=256 YBLOCK=8 num_warps=8,XBLOCK=32 YBLOCK=32 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",22.24,19.12,1.1632,XBLOCK=64 YBLOCK=8 num_warps=8,XBLOCK=128 YBLOCK=4 num_warps=8,yes
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},24.881,21.401,1.1626,XBLOCK=512 num_warps=4,XBLOCK=128 num_warps=1,yes
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},26.921,23.28,1.1564,XBLOCK=512 num_warps=8,XBLOCK=1024 num_warps=4,yes
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",20.921,18.2,1.1495,XBLOCK=1 num_warps=1,XBLOCK=1 waves_per_eu=2 num_warps=1,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},25.121,21.881,1.1481,XBLOCK=512 num_warps=8,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 4096}",22.481,19.601,1.1469,XBLOCK=64 YBLOCK=8 num_warps=8,XBLOCK=128 YBLOCK=64 num_warps=4,yes
