kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},10.6,7.24,1.4641,XBLOCK=4096 num_warps=8,,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},10.2,7.52,1.3564,XBLOCK=512 num_warps=8,,yes
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",6.2,6.2,1.0,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=2,yes
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",6.44,6.44,1.0,XBLOCK=1 waves_per_eu=2 num_warps=1,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,yes
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",6.441,6.441,1.0,XBLOCK=1 num_warps=4,R0_BLOCK=dyn num_warps=4,yes
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",6.48,6.4799999999999995,1.0,XBLOCK=1 waves_per_eu=2 num_warps=1,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,yes
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",6.481,6.481,1.0,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=2,yes
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",7.16,7.16,1.0,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=4,yes
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",6.44,6.44,1.0,XBLOCK=1 waves_per_eu=2 num_warps=2,R0_BLOCK=dyn num_warps=1,yes
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",6.481,6.481,1.0,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=2,yes
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",6.36,6.36,1.0,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=2,yes
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",6.44,6.44,1.0,XBLOCK=1 num_warps=1,R0_BLOCK=dyn num_warps=1,yes
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",6.52,6.52,1.0,XBLOCK=1 num_warps=4,R0_BLOCK=dyn num_warps=4,yes
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",6.481,6.481,1.0,XBLOCK=1 waves_per_eu=2 num_warps=2,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,yes
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",6.48,6.4799999999999995,1.0,XBLOCK=1 num_warps=1,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,yes
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",6.44,6.44,1.0,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=2,yes
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",6.48,6.4799999999999995,1.0,XBLOCK=1 waves_per_eu=2 num_warps=2,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,yes
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",6.56,6.56,1.0,XBLOCK=1 waves_per_eu=2 num_warps=2,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,yes
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",6.56,6.56,1.0,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=2,yes
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",6.32,6.32,1.0,XBLOCK=1 waves_per_eu=2 num_warps=1,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,yes
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",6.52,6.52,1.0,XBLOCK=1 waves_per_eu=2 num_warps=2,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,yes
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",6.36,6.36,1.0,XBLOCK=1 waves_per_eu=2 num_warps=2,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},10.76,10.76,1.0,XBLOCK=512 num_warps=8,,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},10.04,10.040000000000001,1.0,XBLOCK=512 num_warps=8,,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},6.28,6.28,1.0,XBLOCK=256 num_warps=2,,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},14.48,14.48,1.0,XBLOCK=2048 num_warps=8,,yes
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},7.52,7.52,1.0,XBLOCK=256 num_warps=4,,yes
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 32768},6.56,6.56,1.0,XBLOCK=256 num_warps=4,,yes
triton_poi_fused_add_0,{'x': 131072},6.64,6.64,1.0,XBLOCK=4096 num_warps=8,,yes
triton_poi_fused_add_0,{'x': 16384},6.52,6.52,1.0,XBLOCK=512 num_warps=8,,yes
triton_poi_fused_add_0,{'x': 262144},6.6,6.6,1.0,XBLOCK=2048 num_warps=8,,yes
triton_poi_fused_add_0,{'x': 4096},6.52,6.52,1.0,XBLOCK=256 num_warps=2,,yes
triton_poi_fused_add_0,{'x': 4194304},10.321,10.321,1.0,XBLOCK=4096 num_warps=8,,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},10.0,10.0,1.0,XBLOCK=512 num_warps=8,,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},9.721,9.721,1.0,XBLOCK=256 num_warps=4,,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},14.32,14.32,1.0,XBLOCK=2048 num_warps=8,,yes
