kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_poi_fused_add_mul_transpose_0,"{'y': 2048, 'x': 2048}",29.76,26.44,1.1256,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=64 YBLOCK=64 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",21.160999999999998,19.279999999999998,1.0976,XBLOCK=64 YBLOCK=2 num_warps=2,XBLOCK=128 YBLOCK=32 num_warps=8,yes
triton_poi_fused_add_gelu_mul_0,{'x': 16777216},73.722,69.32199999999999,1.0635,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",20.96,19.959999999999997,1.0501,XBLOCK=128 YBLOCK=1 num_warps=2,XBLOCK=256 YBLOCK=16 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},22.841,21.801000000000002,1.0477,XBLOCK=256 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_red_fused_std_3,"{'x': 128, 'r0_': 8192}",22.641000000000002,21.64,1.0463,R0_BLOCK=4096 num_warps=8,R0_BLOCK=4096 num_warps=8,no
triton_poi_fused_add_mul_transpose_0,"{'y': 1024, 'x': 1024}",20.84,20.001,1.0419,XBLOCK=128 YBLOCK=16 num_warps=8,XBLOCK=64 YBLOCK=32 num_warps=4,yes
triton_red_fused_add_div_mean_mul_var_4,"{'x': 8, 'r0_': 8192}",21.28,20.48,1.0391,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 4194304},39.361,37.961,1.0369,XBLOCK=4096 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_add_gelu_mul_0,{'x': 4194304},28.521,27.601,1.0333,XBLOCK=1024 num_warps=8,XBLOCK=1024 num_warps=8,no
triton_poi_fused_silu_0,{'x': 8388608},25.361,24.561,1.0326,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=2,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 128, 'r0_': 8192}",24.121,23.401000000000003,1.0308,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,R0_BLOCK=4096 num_warps=8,yes
triton_red_fused_add_div_mean_mul_var_4,"{'x': 128, 'r0_': 8192}",21.84,21.201,1.0301,R0_BLOCK=4096 num_warps=8,R0_BLOCK=4096 num_warps=8,no
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 8, 'r0_': 8192}",31.201,30.32,1.0291,R0_BLOCK=4096 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},24.041,23.400000000000002,1.0274,XBLOCK=2048 num_warps=8,XBLOCK=4096 num_warps=4,yes
triton_poi_fused_mul_relu_0,{'x': 2097152},19.241,18.759999999999998,1.0256,XBLOCK=1024 num_warps=8,XBLOCK=1024 num_warps=8,no
triton_poi_fused_tanh_0,{'x': 67108864},105.363,102.883,1.0241,XBLOCK=1024 num_warps=4,XBLOCK=1024 num_warps=4,no
triton_poi_fused_relu_sigmoid_0,{'x': 4194304},20.921,20.441000000000003,1.0235,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=2,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},19.441,19.0,1.0232,XBLOCK=512 num_warps=8,XBLOCK=512 num_warps=8,no
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 4, 'r0_': 8192}",32.721000000000004,32.001000000000005,1.0225,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_add_0,{'x': 4194304},23.441,22.96,1.0209,XBLOCK=4096 num_warps=4,XBLOCK=4096 num_warps=4,no
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 4, 'r0_': 8192}",20.04,19.641,1.0203,R0_BLOCK=8192 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_poi_fused_add_gelu_mul_0,{'x': 4096},19.001,18.64,1.0194,XBLOCK=256 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_leaky_relu_0,{'x': 2097152},19.081,18.72,1.0193,XBLOCK=512 num_warps=8,XBLOCK=512 num_warps=4,yes
triton_poi_fused_relu_sigmoid_0,{'x': 8388608},25.321,24.840999999999998,1.0193,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=2,yes
triton_red_fused_std_3,"{'x': 32, 'r0_': 8192}",19.321,18.96,1.019,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,no
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 128, 'r0_': 8192}",20.92,20.56,1.0175,R0_BLOCK=4096 waves_per_eu=2 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",18.761,18.441,1.0174,R0_BLOCK=dyn num_warps=4,R0_BLOCK=dyn num_warps=4,no
triton_red_fused_var_5,"{'x': 128, 'r0_': 8192}",21.04,20.68,1.0174,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,R0_BLOCK=4096 waves_per_eu=2 num_warps=8,yes
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 128, 'r0_': 8192}",19.480999999999998,19.16,1.0168,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 128, 'x': 128}",20.721,20.401,1.0157,XBLOCK=128 YBLOCK=1 num_warps=2,XBLOCK=64 YBLOCK=4 num_warps=4,yes
triton_poi_fused_leaky_relu_0,{'x': 4096},18.521,18.24,1.0154,XBLOCK=128 num_warps=1,XBLOCK=256 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 4096}",21.361,21.04,1.0153,XBLOCK=64 YBLOCK=8 num_warps=4,XBLOCK=64 YBLOCK=8 num_warps=4,no
triton_red_fused_add_div_max_mul_0,"{'x': 4, 'r0_': 8192}",18.801,18.52,1.0152,R0_BLOCK=4096 num_warps=4,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},25.159999999999997,24.801,1.0145,XBLOCK=256 num_warps=2,XBLOCK=256 num_warps=4,yes
triton_poi_fused_leaky_relu_0,{'x': 67108864},106.84299999999999,105.323,1.0144,XBLOCK=1024 num_warps=4,XBLOCK=1024 num_warps=4,no
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 32, 'r0_': 8192}",32.641000000000005,32.201,1.0137,R0_BLOCK=8192 num_warps=8,R0_BLOCK=8192 num_warps=8,no
triton_poi_fused_mul_relu_0,{'x': 8388608},24.401,24.081000000000003,1.0133,XBLOCK=4096 num_warps=4,XBLOCK=4096 num_warps=4,no
triton_poi_fused_add_0,{'x': 16777216},43.001,42.441,1.0132,XBLOCK=4096 num_warps=4,XBLOCK=1024 num_warps=4,yes
triton_poi_fused_add_0,{'x': 8388608},27.961,27.601,1.013,XBLOCK=4096 num_warps=4,XBLOCK=4096 num_warps=4,no
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},22.721,22.441,1.0125,XBLOCK=2048 num_warps=4,XBLOCK=2048 num_warps=4,no
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",19.721,19.48,1.0124,XBLOCK=256 YBLOCK=8 num_warps=8,XBLOCK=128 YBLOCK=16 num_warps=8,yes
triton_poi_fused_add_div_mean_std_sub_4,{'x': 8388608},24.92,24.641,1.0113,XBLOCK=1024 num_warps=4,XBLOCK=2048 num_warps=8,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",229.566,227.006,1.0113,XBLOCK=128 YBLOCK=128 num_warps=8,XBLOCK=512 YBLOCK=32 num_warps=8,yes
triton_poi_fused_relu_sigmoid_0,{'x': 1048576},18.681,18.48,1.0109,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=4,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 2048, 'r0_': 8192}",95.403,94.442,1.0102,R0_BLOCK=8192 num_warps=4,R0_BLOCK=8192 num_warps=4,no
triton_poi_fused_add_gelu_mul_0,{'x': 8388608},35.921,35.6,1.009,XBLOCK=1024 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",18.761,18.599999999999998,1.0087,R0_BLOCK=dyn num_warps=1,R0_BLOCK=dyn num_warps=1,no
triton_poi_fused_add_gelu_mul_0,{'x': 131072},18.96,18.801,1.0085,XBLOCK=512 num_warps=8,XBLOCK=512 num_warps=8,no
triton_poi_fused_add_relu_0,{'x': 32768},18.84,18.681,1.0085,XBLOCK=512 num_warps=8,XBLOCK=4096 num_warps=4,yes
triton_red_fused_mean_std_1,"{'x': 1024, 'r0_': 8192}",28.561,28.320999999999998,1.0085,XBLOCK=2 R0_BLOCK=4096 num_warps=4,XBLOCK=2 R0_BLOCK=4096 num_warps=4,no
triton_poi_fused_add_div_mean_std_sub_4,{'x': 4194304},28.6,28.361,1.0084,XBLOCK=2048 num_warps=4,XBLOCK=2048 num_warps=4,no
triton_poi_fused_add_relu_0,{'x': 2097152},19.24,19.08,1.0084,XBLOCK=1024 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_poi_fused_add_relu_0,{'x': 8388608},27.881,27.681,1.0072,XBLOCK=1024 num_warps=4,XBLOCK=1024 num_warps=4,no
triton_poi_fused_relu_sigmoid_0,{'x': 67108864},104.843,104.12299999999999,1.0069,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=2,yes
triton_red_fused_mean_1,"{'x': 1, 'r0_': 2048}",18.681,18.56,1.0065,R0_BLOCK=2048 waves_per_eu=2 num_warps=8,R0_BLOCK=2048 num_warps=8,yes
triton_poi_fused_add_0,{'x': 32768},18.84,18.721,1.0064,XBLOCK=512 num_warps=8,XBLOCK=1024 num_warps=2,yes
triton_poi_fused_add_relu_0,{'x': 512},18.841,18.721,1.0064,XBLOCK=512 num_warps=4,XBLOCK=64 num_warps=1,yes
triton_poi_fused_relu_sigmoid_0,{'x': 2097152},19.121,19.0,1.0064,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_relu_sigmoid_0,{'x': 262144},18.96,18.84,1.0064,XBLOCK=512 num_warps=4,XBLOCK=256 num_warps=4,yes
triton_red_fused_var_5,"{'x': 4, 'r0_': 8192}",19.0,18.881,1.0063,R0_BLOCK=4096 num_warps=4,R0_BLOCK=4096 num_warps=4,no
triton_poi_fused_silu_0,{'x': 2097152},19.32,19.201,1.0062,XBLOCK=512 num_warps=8,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 16777216},34.521,34.321,1.0058,XBLOCK=1024 num_warps=4,XBLOCK=1024 num_warps=4,no
triton_poi_fused_gelu_0,{'x': 16777216},36.081,35.881,1.0056,XBLOCK=1024 num_warps=4,XBLOCK=1024 num_warps=4,no
triton_poi_fused_tanh_0,{'x': 4194304},21.520999999999997,21.401,1.0056,XBLOCK=1024 num_warps=8,XBLOCK=512 num_warps=4,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},24.441000000000003,24.320999999999998,1.0049,XBLOCK=2048 num_warps=4,XBLOCK=1024 num_warps=8,yes
