kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",55.321,18.599999999999998,2.9742,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=2,yes
triton_red_fused_std_3,"{'x': 128, 'r0_': 8192}",52.961,21.64,2.4474,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=4096 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 4, 'r0_': 8192}",52.282,28.641,1.8254,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_red_fused_std_3,"{'x': 512, 'r0_': 8192}",34.521,22.599999999999998,1.5275,XBLOCK=8 R0_BLOCK=512 num_warps=4,R0_BLOCK=8192 num_warps=4,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},25.4,19.0,1.3368,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_red_fused_var_5,"{'x': 128, 'r0_': 8192}",26.52,20.68,1.2824,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=4096 waves_per_eu=2 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 4, 'r0_': 8192}",40.201,32.001000000000005,1.2562,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},22.561,19.001,1.1874,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=4,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 128, 'r0_': 8192}",23.961,20.56,1.1654,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 4, 'r0_': 8192}",22.641,19.641,1.1527,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_red_fused_add_div_max_mul_0,"{'x': 512, 'r0_': 8192}",27.88,24.241,1.1501,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_mean_std_1,"{'x': 2048, 'r0_': 8192}",37.121,33.241,1.1167,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},26.24,23.721,1.1062,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_red_fused_var_5,"{'x': 512, 'r0_': 8192}",22.481,20.601000000000003,1.0913,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=4,yes
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",20.4,18.841,1.0827,XBLOCK=1 num_warps=2,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,yes
triton_red_fused_var_5,"{'x': 32, 'r0_': 8192}",20.601,19.041,1.0819,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=2048 num_warps=8,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",243.407,227.006,1.0722,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=512 YBLOCK=32 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",20.641,19.279999999999998,1.0706,XBLOCK=128 YBLOCK=16 num_warps=4,XBLOCK=128 YBLOCK=32 num_warps=8,yes
