kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",248.926,217.64600000000002,1.1437,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=128 YBLOCK=128 num_warps=8,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 4096, 'x': 4096}",60.322,55.961999999999996,1.0779,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=256 YBLOCK=16 num_warps=8,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 2048}",42.201,39.201,1.0765,XBLOCK=64 YBLOCK=64 num_warps=4,XBLOCK=64 YBLOCK=64 num_warps=4,no
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",20.961,19.681,1.065,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=128 YBLOCK=16 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",21.041,20.041,1.0499,XBLOCK=16 YBLOCK=16 num_warps=1,XBLOCK=128 YBLOCK=2 num_warps=4,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 1024, 'x': 1024}",20.12,19.279999999999998,1.0436,XBLOCK=128 YBLOCK=16 num_warps=4,XBLOCK=64 YBLOCK=32 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",20.441,20.0,1.022,XBLOCK=64 YBLOCK=32 num_warps=4,XBLOCK=512 YBLOCK=1 num_warps=4,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 512, 'x': 512}",20.36,20.160999999999998,1.0099,XBLOCK=64 YBLOCK=64 num_warps=4,XBLOCK=128 YBLOCK=4 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",36.361,36.241,1.0033,XBLOCK=32 YBLOCK=32 num_warps=4,XBLOCK=256 YBLOCK=16 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 2048}",22.041,22.001,1.0018,XBLOCK=256 YBLOCK=16 num_warps=4,XBLOCK=64 YBLOCK=32 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",20.161,20.16,1.0,XBLOCK=64 YBLOCK=32 num_warps=4,XBLOCK=64 YBLOCK=64 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 4096}",19.64,19.801,0.9919,XBLOCK=256 YBLOCK=16 num_warps=4,XBLOCK=64 YBLOCK=8 num_warps=8,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 128, 'x': 128}",18.96,19.121,0.9916,XBLOCK=64 YBLOCK=32 num_warps=4,XBLOCK=16 YBLOCK=16 num_warps=1,yes
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",55.682,56.681000000000004,0.9824,XBLOCK=64 YBLOCK=32 num_warps=4,XBLOCK=128 YBLOCK=32 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",20.24,20.8,0.9731,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=64 YBLOCK=16 num_warps=4,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 2048, 'x': 2048}",26.641,27.881,0.9555,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=256 YBLOCK=16 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",18.68,19.68,0.9492,XBLOCK=64 YBLOCK=64 num_warps=4,XBLOCK=32 YBLOCK=8 num_warps=2,yes
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",19.36,20.721,0.9343,XBLOCK=64 YBLOCK=64 num_warps=4,XBLOCK=128 YBLOCK=32 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",19.2,21.041,0.9125,XBLOCK=256 YBLOCK=16 num_warps=4,XBLOCK=128 YBLOCK=2 num_warps=2,yes
