input,block1,block2,block3,kpack,matrix_instr_nonkdim,num_stages,num_warps,waves_per_eu,timing
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],32,16,32,2,0,2,2,0,0.1906830072402954
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],32,16,32,2,16,2,2,0,0.1626020073890686
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],32,128,32,2,0,2,4,0,0.1396069973707199
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],32,128,32,2,16,2,4,0,0.07915700227022171
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],32,32,64,2,0,2,8,0,0.23494799435138702
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],32,32,64,2,16,2,8,0,0.0994269996881485
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,32,32,2,0,2,8,0,0.1557909995317459
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,32,32,2,16,2,8,0,0.09922699630260468
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,128,32,2,0,2,4,0,0.0973839983344078
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,128,32,2,16,2,4,0,0.06946299970149994
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,16,64,2,0,2,4,0,0.11609199643135071
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,16,64,2,16,2,4,0,0.10912200063467026
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,32,64,2,0,2,4,0,0.07442999631166458
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,32,64,2,16,2,4,0,0.06946299970149994
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,64,64,2,0,2,8,0,0.08648800104856491
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,64,64,2,16,2,8,0,0.06305299699306488
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,128,64,2,0,2,4,0,0.06862200051546097
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,128,64,2,16,2,4,0,0.05784500017762184
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,32,128,2,0,2,4,0,0.05876699835062027
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,32,128,2,16,2,4,0,0.05500200018286705
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,32,128,2,0,2,8,0,0.0723470002412796
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,32,128,2,16,2,8,0,0.06738000363111496
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,64,128,2,0,2,4,0,0.0495930016040802
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,64,128,2,16,2,4,0,0.04510600119829178
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,128,128,2,0,2,4,0,0.07050400227308273
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],64,128,128,2,16,2,4,0,0.0652960017323494
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,32,64,2,0,2,4,0,0.06257300078868866
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,32,64,2,16,2,4,0,0.05652400106191635
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,32,64,2,0,2,8,0,0.07543200254440308
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,32,64,2,16,2,8,0,0.0675399973988533
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,32,128,2,0,2,8,0,0.06437499821186066
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,32,128,2,16,2,8,0,0.05960800126194954
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,32,128,2,0,2,4,0,0.06497599929571152
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,32,128,2,16,2,4,0,0.05840599909424782
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,64,128,2,0,2,4,0,0.05676399916410446
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,64,128,2,16,2,4,0,0.05091499909758568
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,64,128,2,0,2,8,0,0.05339900031685829
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,64,128,2,16,2,8,0,0.053238000720739365
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],32,16,32,2,0,2,2,0,0.1742980033159256
