block1,block2,block3,kpack,matrix_instr_nonkdim,num_stages,num_warps,waves_per_eu,top_1,top_3,top_5,top_10,score
64,128,64,2,0,2,4,0,2,3,3,3,47
64,64,128,2,16,2,4,0,1,3,3,3,37
128,64,128,2,16,2,4,0,1,2,2,3,29
64,64,64,2,16,2,8,0,1,1,2,4,25
128,64,128,2,0,2,8,0,1,1,2,2,23
64,32,128,2,0,2,8,0,0,2,3,3,22
128,64,128,2,16,2,8,0,0,2,3,3,22
64,64,128,2,0,2,4,0,0,1,2,5,16
128,32,64,2,0,2,8,0,0,1,2,3,14
64,64,64,2,0,2,8,0,0,1,2,3,14
64,128,64,2,16,2,4,0,0,0,3,4,13
64,128,32,2,16,2,4,0,0,1,1,2,10
128,32,128,2,16,2,4,0,0,0,1,3,6
64,32,128,2,16,2,4,0,0,0,1,3,6
128,32,64,2,16,2,4,0,0,0,0,3,3
64,32,64,2,0,2,4,0,0,0,0,3,3
128,32,128,2,16,2,8,0,0,0,0,2,2
64,128,32,2,0,2,4,0,0,0,0,2,2
64,128,128,2,0,2,4,0,0,0,0,2,2
64,32,128,2,16,2,8,0,0,0,0,1,1
128,64,128,2,0,2,4,0,0,0,0,1,1
128,32,128,2,0,2,8,0,0,0,0,1,1
128,32,64,2,16,2,8,0,0,0,0,1,1
32,32,64,2,16,2,8,0,0,0,0,0,0
128,32,128,2,0,2,4,0,0,0,0,0,0
32,32,64,2,0,2,8,0,0,0,0,0,0
64,16,64,2,16,2,4,0,0,0,0,0,0
32,128,32,2,0,2,4,0,0,0,0,0,0
128,32,64,2,0,2,4,0,0,0,0,0,0
64,128,128,2,16,2,4,0,0,0,0,0,0
64,32,32,2,0,2,8,0,0,0,0,0,0
32,16,32,2,16,2,2,0,0,0,0,0,0
32,128,32,2,16,2,4,0,0,0,0,0,0
64,16,64,2,0,2,4,0,0,0,0,0,0
64,32,128,2,0,2,4,0,0,0,0,0,0
64,32,64,2,16,2,4,0,0,0,0,0,0
64,32,32,2,16,2,8,0,0,0,0,0,0
32,16,32,2,0,2,2,0,0,0,0,0,0
