kernel_name,size_hints,fastest_us,config
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",19.48,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",19.92,XBLOCK=1 num_warps=1
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",20.24,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",20.801,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",19.92,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",21.56,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",20.361,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",19.64,XBLOCK=1 num_warps=1
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",20.16,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",20.921,XBLOCK=1 num_warps=1
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",19.881,XBLOCK=1 num_warps=2
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",20.521,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",20.481,XBLOCK=1 num_warps=2
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",20.001,XBLOCK=1 num_warps=1
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",19.841,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",20.24,XBLOCK=1 num_warps=4
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",19.64,XBLOCK=1 num_warps=2
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",19.84,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",19.8,XBLOCK=1 num_warps=1
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",19.521,XBLOCK=1 num_warps=1
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",20.001,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},26.281,XBLOCK=2048 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},25.761,XBLOCK=2048 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},25.201,XBLOCK=128 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},25.521,XBLOCK=64 num_warps=1
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},25.921,XBLOCK=512 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},25.8,XBLOCK=512 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},20.08,XBLOCK=256 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},30.361,XBLOCK=2048 num_warps=8
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},21.401,XBLOCK=128 num_warps=2
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 262144},19.601,XBLOCK=512 num_warps=8
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 32768},19.84,XBLOCK=512 num_warps=8
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 4194304},36.601,XBLOCK=256 num_warps=2
triton_poi_fused_add_0,{'x': 1048576},20.32,XBLOCK=1024 num_warps=8
triton_poi_fused_add_0,{'x': 131072},20.32,XBLOCK=128 num_warps=1
triton_poi_fused_add_0,{'x': 16384},20.121,XBLOCK=128 num_warps=1
triton_poi_fused_add_0,{'x': 16777216},44.481,XBLOCK=256 num_warps=2
triton_poi_fused_add_0,{'x': 2097152},20.441,XBLOCK=256 num_warps=2
triton_poi_fused_add_0,{'x': 262144},20.0,XBLOCK=512 num_warps=8
triton_poi_fused_add_0,{'x': 32768},19.96,XBLOCK=64 num_warps=1
triton_poi_fused_add_0,{'x': 4096},19.961,XBLOCK=128 num_warps=1
triton_poi_fused_add_0,{'x': 4194304},24.521,XBLOCK=2048 num_warps=8
triton_poi_fused_add_0,{'x': 512},20.081,XBLOCK=256 num_warps=2
triton_poi_fused_add_0,{'x': 65536},19.841,XBLOCK=128 num_warps=1
triton_poi_fused_add_0,{'x': 67108864},148.284,XBLOCK=128 num_warps=1
triton_poi_fused_add_0,{'x': 8388608},29.161,XBLOCK=256 num_warps=2
