kernel_name,size_hints,fastest_us,config
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",6.64,XBLOCK=1 num_warps=1
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",6.6,XBLOCK=1 waves_per_eu=2 num_warps=1
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",6.6,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",6.6,XBLOCK=1 waves_per_eu=2 num_warps=1
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",6.36,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",7.56,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",6.92,XBLOCK=8 num_warps=4
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",6.52,XBLOCK=1 num_warps=1
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",6.4,XBLOCK=1 num_warps=2
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",6.52,XBLOCK=1 num_warps=1
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",6.56,XBLOCK=1 num_warps=1
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",6.52,XBLOCK=1 num_warps=2
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",6.641,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",6.6,XBLOCK=1 num_warps=1
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",6.28,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",6.72,XBLOCK=1 num_warps=4
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",6.44,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",6.76,XBLOCK=1 num_warps=2
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",6.56,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",6.72,XBLOCK=1 num_warps=1
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",6.44,XBLOCK=1 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},10.68,XBLOCK=4096 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},9.24,XBLOCK=2048 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},9.16,XBLOCK=2048 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},9.72,XBLOCK=2048 num_warps=1
