kernel_name,size_hints,fastest_us,config
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",54.761,XBLOCK=1 num_warps=1
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 32}",19.801,XBLOCK=1 num_warps=2
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 4}",18.44,XBLOCK=1 num_warps=2
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 8}",18.401,XBLOCK=1 num_warps=1
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",18.8,XBLOCK=1 num_warps=1
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 32}",18.641,XBLOCK=1 num_warps=1
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 4}",20.08,XBLOCK=1 num_warps=1
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",18.721,XBLOCK=1 num_warps=4
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",21.561,XBLOCK=1 num_warps=1
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 32}",18.801,XBLOCK=1 num_warps=2
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 4}",18.72,XBLOCK=1 num_warps=1
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",18.201,XBLOCK=1 num_warps=2
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",19.92,XBLOCK=1 num_warps=2
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 32}",19.401,XBLOCK=8 num_warps=1
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 4096, 'r0_': 64}",19.4,XBLOCK=8 num_warps=4
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",19.04,XBLOCK=4 num_warps=4
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",18.52,XBLOCK=1 num_warps=1
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 32}",18.601,XBLOCK=1 num_warps=2
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 4}",18.761,XBLOCK=1 num_warps=1
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",18.961,XBLOCK=1 num_warps=4
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 8}",18.76,XBLOCK=1 num_warps=1
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",18.52,XBLOCK=1 num_warps=1
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 8}",18.641,XBLOCK=1 num_warps=1
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",18.08,XBLOCK=1 num_warps=1
triton_per_fused_mean_1,"{'x': 1, 'r0_': 32}",20.28,XBLOCK=1 num_warps=1
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",20.121,XBLOCK=1 num_warps=8
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",20.72,XBLOCK=1 num_warps=4
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",18.401,XBLOCK=1 num_warps=2
triton_per_fused_std_2,"{'x': 1, 'r0_': 32}",19.961,XBLOCK=1 num_warps=1
triton_per_fused_std_2,"{'x': 1, 'r0_': 4}",19.12,XBLOCK=1 num_warps=2
triton_per_fused_std_2,"{'x': 1, 'r0_': 8}",19.64,XBLOCK=1 num_warps=2
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",19.88,XBLOCK=1 num_warps=4
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",19.801,XBLOCK=1 num_warps=2
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",18.96,XBLOCK=1 num_warps=1
triton_per_fused_std_4,"{'x': 1, 'r0_': 32}",19.0,XBLOCK=1 num_warps=1
triton_per_fused_std_4,"{'x': 1, 'r0_': 4}",20.201,XBLOCK=1 num_warps=1
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",19.321,XBLOCK=1 num_warps=2
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",18.32,XBLOCK=1 num_warps=2
triton_per_fused_var_5,"{'x': 1, 'r0_': 8}",18.561,XBLOCK=1 num_warps=1
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",18.32,XBLOCK=1 num_warps=2
triton_per_fused_var_6,"{'x': 1, 'r0_': 32}",18.961,XBLOCK=1 num_warps=1
triton_per_fused_var_6,"{'x': 1, 'r0_': 4}",18.12,XBLOCK=1 num_warps=2
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",20.121,XBLOCK=1 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},24.121,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},25.921,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},23.36,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},22.041,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},24.201,XBLOCK=1024 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},22.36,XBLOCK=1024 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},20.481,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},30.481,XBLOCK=512 num_warps=4
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},20.961,XBLOCK=512 num_warps=4
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 262144},19.76,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 32768},21.361,XBLOCK=128 num_warps=2
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 4194304},34.801,XBLOCK=512 num_warps=4
triton_poi_fused_add_0,{'x': 1048576},19.08,XBLOCK=512 num_warps=4
triton_poi_fused_add_0,{'x': 131072},18.961,XBLOCK=8192 waves_per_eu=2 num_warps=4
triton_poi_fused_add_0,{'x': 16384},18.6,XBLOCK=128 num_warps=2
triton_poi_fused_add_0,{'x': 16777216},42.761,XBLOCK=1024 num_warps=4
triton_poi_fused_add_0,{'x': 2097152},19.16,XBLOCK=512 num_warps=4
triton_poi_fused_add_0,{'x': 262144},18.92,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_0,{'x': 32768},18.681,XBLOCK=256 num_warps=1
triton_poi_fused_add_0,{'x': 4096},18.52,XBLOCK=128 num_warps=2
triton_poi_fused_add_0,{'x': 4194304},22.521,XBLOCK=8192 waves_per_eu=2 num_warps=4
triton_poi_fused_add_0,{'x': 512},18.64,XBLOCK=512 waves_per_eu=2 num_warps=2
triton_poi_fused_add_0,{'x': 65536},18.72,XBLOCK=512 num_warps=2
triton_poi_fused_add_0,{'x': 67108864},150.085,XBLOCK=512 num_warps=4
triton_poi_fused_add_0,{'x': 8388608},27.761,XBLOCK=4096 num_warps=4
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},23.76,XBLOCK=512 num_warps=4
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},23.16,XBLOCK=512 num_warps=4
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},22.921,XBLOCK=128 num_warps=2
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},30.441,XBLOCK=8192 waves_per_eu=2 num_warps=4
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},24.001,XBLOCK=8192 waves_per_eu=2 num_warps=4
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},21.48,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},24.64,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_std_sub_3,{'x': 16777216},56.642,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},25.64,XBLOCK=4096 num_warps=4
