kernel_name,size_hints,fastest_us,config
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",19.161,XBLOCK=32 YBLOCK=128 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",23.761,XBLOCK=128 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",20.401,XBLOCK=64 YBLOCK=64 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",22.121,XBLOCK=16 YBLOCK=16 num_warps=1
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",19.921,XBLOCK=16 YBLOCK=256 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",57.282,XBLOCK=128 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",21.64,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",35.801,XBLOCK=32 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 2048}",20.881,XBLOCK=16 YBLOCK=256 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",19.921,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",19.281,XBLOCK=8 YBLOCK=64 num_warps=2
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 4096}",22.321,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 1024, 'x': 1024}",22.801,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 128, 'x': 128}",21.961,XBLOCK=32 YBLOCK=128 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 2048, 'x': 2048}",30.321,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 4096, 'x': 4096}",60.002,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 512, 'x': 512}",22.361,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 2048}",42.441,XBLOCK=64 YBLOCK=64 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",239.887,XBLOCK=32 YBLOCK=512 num_warps=4
