kernel_name,size_hints,fastest_us,config
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",20.321,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",19.561,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",20.72,XBLOCK=8 YBLOCK=128 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",19.12,XBLOCK=16 YBLOCK=16 num_warps=1
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",21.24,XBLOCK=16 YBLOCK=256 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",58.842,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",19.12,XBLOCK=256 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",36.041,XBLOCK=128 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 2048}",22.401,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",21.16,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",19.96,XBLOCK=32 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 4096}",19.401,XBLOCK=128 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 1024, 'x': 1024}",20.721,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 128, 'x': 128}",19.44,XBLOCK=128 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 2048, 'x': 2048}",26.561,XBLOCK=64 YBLOCK=64 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 4096, 'x': 4096}",57.961,XBLOCK=128 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 512, 'x': 512}",21.121,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 2048}",39.361,XBLOCK=64 YBLOCK=64 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",243.446,XBLOCK=128 YBLOCK=32 num_warps=4
