kernel_name,size_hints,fastest_us,config
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",55.321,XBLOCK=1 num_warps=2
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 32}",18.641,XBLOCK=1 num_warps=2
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 4}",18.56,XBLOCK=1 num_warps=2
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 8}",18.76,XBLOCK=1 num_warps=1
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",18.68,XBLOCK=1 num_warps=1
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 32}",18.68,XBLOCK=1 num_warps=2
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 4}",18.52,XBLOCK=1 num_warps=1
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",19.241,XBLOCK=1 num_warps=4
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",19.36,XBLOCK=1 num_warps=1
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 32}",18.64,XBLOCK=1 num_warps=2
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 4}",18.721,XBLOCK=1 num_warps=2
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",18.84,XBLOCK=1 num_warps=4
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",19.681,XBLOCK=1 num_warps=4
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 32}",19.121,XBLOCK=32 num_warps=1
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 4096, 'r0_': 64}",19.201,XBLOCK=8 num_warps=4
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",19.201,XBLOCK=1 num_warps=4
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",17.88,XBLOCK=1 num_warps=2
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 32}",18.481,XBLOCK=1 num_warps=1
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 4}",19.08,XBLOCK=1 num_warps=1
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",18.76,XBLOCK=1 num_warps=4
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 8}",18.44,XBLOCK=1 num_warps=2
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",18.44,XBLOCK=1 num_warps=1
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 8}",18.681,XBLOCK=1 num_warps=2
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",18.521,XBLOCK=1 num_warps=1
triton_per_fused_mean_1,"{'x': 1, 'r0_': 32}",18.721,XBLOCK=1 num_warps=1
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",18.56,XBLOCK=1 num_warps=2
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",18.801,XBLOCK=1 num_warps=4
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",18.641,XBLOCK=1 num_warps=2
triton_per_fused_std_2,"{'x': 1, 'r0_': 32}",18.6,XBLOCK=1 num_warps=2
triton_per_fused_std_2,"{'x': 1, 'r0_': 4}",17.921,XBLOCK=1 num_warps=1
triton_per_fused_std_2,"{'x': 1, 'r0_': 8}",19.2,XBLOCK=1 num_warps=2
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",18.721,XBLOCK=1 num_warps=8
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",19.041,XBLOCK=1 num_warps=2
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",18.801,XBLOCK=1 num_warps=1
triton_per_fused_std_4,"{'x': 1, 'r0_': 32}",18.72,XBLOCK=1 num_warps=2
triton_per_fused_std_4,"{'x': 1, 'r0_': 4}",18.641,XBLOCK=1 num_warps=1
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",18.681,XBLOCK=1 num_warps=4
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",18.56,XBLOCK=1 num_warps=2
triton_per_fused_var_5,"{'x': 1, 'r0_': 8}",18.88,XBLOCK=1 num_warps=1
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",18.641,XBLOCK=1 num_warps=1
triton_per_fused_var_6,"{'x': 1, 'r0_': 32}",18.641,XBLOCK=1 num_warps=1
triton_per_fused_var_6,"{'x': 1, 'r0_': 4}",18.48,XBLOCK=1 num_warps=2
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",20.4,XBLOCK=1 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},24.161,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},23.001,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},22.841,XBLOCK=256 num_warps=1
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},22.96,XBLOCK=512 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},26.24,XBLOCK=512 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},22.561,XBLOCK=1024 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},19.0,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},29.601,XBLOCK=1024 num_warps=4
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},22.521,XBLOCK=512 num_warps=4
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 262144},18.72,XBLOCK=1024 num_warps=4
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 32768},19.041,XBLOCK=128 num_warps=2
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 4194304},36.241,XBLOCK=512 num_warps=4
triton_poi_fused_add_0,{'x': 1048576},19.0,XBLOCK=8192 waves_per_eu=2 num_warps=4
triton_poi_fused_add_0,{'x': 131072},19.08,XBLOCK=4096 num_warps=4
triton_poi_fused_add_0,{'x': 16384},18.8,XBLOCK=128 num_warps=2
triton_poi_fused_add_0,{'x': 16777216},42.921,XBLOCK=4096 num_warps=4
triton_poi_fused_add_0,{'x': 2097152},19.161,XBLOCK=512 num_warps=4
triton_poi_fused_add_0,{'x': 262144},18.84,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_0,{'x': 32768},18.721,XBLOCK=128 num_warps=2
triton_poi_fused_add_0,{'x': 4096},18.321,XBLOCK=256 num_warps=1
triton_poi_fused_add_0,{'x': 4194304},22.921,XBLOCK=8192 waves_per_eu=2 num_warps=4
triton_poi_fused_add_0,{'x': 512},18.24,XBLOCK=512 waves_per_eu=2 num_warps=2
triton_poi_fused_add_0,{'x': 65536},18.32,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_0,{'x': 67108864},152.084,XBLOCK=512 num_warps=4
triton_poi_fused_add_0,{'x': 8388608},27.521,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},23.881,XBLOCK=1024 num_warps=4
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},23.201,XBLOCK=512 num_warps=4
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},22.881,XBLOCK=4096 num_warps=4
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},28.761,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},23.6,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},22.921,XBLOCK=256 num_warps=4
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},24.28,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_std_sub_3,{'x': 16777216},55.242,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},23.601,XBLOCK=1024 num_warps=4
triton_poi_fused_add_div_mean_std_sub_4,{'x': 16777216},55.922,XBLOCK=1024 num_warps=4
triton_poi_fused_add_div_mean_std_sub_4,{'x': 4194304},28.201,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_std_sub_4,{'x': 8388608},25.2,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},26.0,XBLOCK=1024 num_warps=4
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},25.4,XBLOCK=512 num_warps=4
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 4194304},38.441,XBLOCK=4096 num_warps=4
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},23.681,XBLOCK=256 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 1048576},19.08,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 131072},19.001,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 16384},19.08,XBLOCK=128 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 16777216},70.082,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 2097152},20.441,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 262144},19.001,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 32768},19.12,XBLOCK=256 num_warps=1
triton_poi_fused_add_gelu_mul_0,{'x': 4096},18.88,XBLOCK=4096 waves_per_eu=2 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 4194304},27.881,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 512},18.92,XBLOCK=512 waves_per_eu=2 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 65536},18.921,XBLOCK=256 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 67108864},240.126,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 8388608},36.641,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",20.641,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",20.681,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",20.241,XBLOCK=128 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",19.88,XBLOCK=256 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",19.6,XBLOCK=64 YBLOCK=32 num_warps=4
