kernel_name,size_hints,chosen_us,config,n_spills
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",18.599999999999998,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",20.401,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",20.201,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",18.72,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",18.52,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",19.561,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",19.12,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",18.44,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",18.521,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",18.521,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",18.64,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",18.681,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",18.681,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",18.481,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",18.441,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",18.521,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",19.801,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",20.56,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",18.801,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",18.599999999999998,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",18.841,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},23.400000000000002,XBLOCK=4096 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},25.641000000000002,XBLOCK=512 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},24.801,XBLOCK=256 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},21.801000000000002,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},23.721,XBLOCK=1024 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},19.001,XBLOCK=512 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},20.240000000000002,XBLOCK=256 num_warps=2,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},29.601,XBLOCK=2048 num_warps=4,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},23.721,XBLOCK=1024 num_warps=8,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 262144},19.001,XBLOCK=512 num_warps=4,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 32768},20.281,XBLOCK=256 num_warps=4,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 4194304},37.081,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_0,{'x': 1048576},19.08,XBLOCK=4096 num_warps=4,0
triton_poi_fused_add_0,{'x': 131072},19.041,XBLOCK=4096 num_warps=4,0
triton_poi_fused_add_0,{'x': 16384},18.761,XBLOCK=256 num_warps=1,0
triton_poi_fused_add_0,{'x': 16777216},42.441,XBLOCK=1024 num_warps=4,0
triton_poi_fused_add_0,{'x': 2097152},19.279999999999998,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 262144},18.8,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 32768},18.721,XBLOCK=1024 num_warps=2,0
triton_poi_fused_add_0,{'x': 4096},18.52,XBLOCK=4096 num_warps=8,0
triton_poi_fused_add_0,{'x': 4194304},22.96,XBLOCK=4096 num_warps=4,0
triton_poi_fused_add_0,{'x': 512},18.841,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_0,{'x': 65536},18.681,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_0,{'x': 67108864},148.884,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_0,{'x': 8388608},27.601,XBLOCK=4096 num_warps=4,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},24.320999999999998,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},22.16,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},22.801,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},28.240000000000002,XBLOCK=2048 num_warps=4,0
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},22.441,XBLOCK=2048 num_warps=4,0
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},23.001,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},22.8,XBLOCK=2048 num_warps=4,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 16777216},54.842,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},23.48,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 16777216},55.041,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 4194304},28.361,XBLOCK=2048 num_warps=4,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 8388608},24.641,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},25.76,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},19.0,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 4194304},37.961,XBLOCK=4096 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},24.081000000000003,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 1048576},19.12,XBLOCK=512 num_warps=8,0
